"","X","night_date","site_id","num_calls","JDay","started","ended","disturbance","veg_cover","water_present","water_type","basal_area","snags","overstory","understory","canopy_cover_mean","overall_mcc"
"1",1,"2025-05-21","23A",1,141,"2025-05-21","2025-05-28","na","hardwood","yes","stream",6491.9,13,19,7,446.96,89.39
"2",2,"2025-05-21","23B",1,141,"2025-05-21","2025-05-28","na","hardwood","no","na",8184.72,NA,42,28,453.79,90.76
"3",3,"2025-05-22","23A",10,142,"2025-05-21","2025-05-28","na","hardwood","yes","stream",6491.9,13,19,7,446.96,89.39
"4",4,"2025-05-22","23B",5,142,"2025-05-21","2025-05-28","na","hardwood","no","na",8184.72,NA,42,28,453.79,90.76
"5",5,"2025-05-23","23A",5,143,"2025-05-21","2025-05-28","na","hardwood","yes","stream",6491.9,13,19,7,446.96,89.39
"6",6,"2025-05-23","23B",2,143,"2025-05-21","2025-05-28","na","hardwood","no","na",8184.72,NA,42,28,453.79,90.76
"7",7,"2025-05-24","23A",4,144,"2025-05-21","2025-05-28","na","hardwood","yes","stream",6491.9,13,19,7,446.96,89.39
"8",8,"2025-05-25","23A",1,145,"2025-05-21","2025-05-28","na","hardwood","yes","stream",6491.9,13,19,7,446.96,89.39
"9",9,"2025-05-25","23B",3,145,"2025-05-21","2025-05-28","na","hardwood","no","na",8184.72,NA,42,28,453.79,90.76
"10",10,"2025-05-26","23A",3,146,"2025-05-21","2025-05-28","na","hardwood","yes","stream",6491.9,13,19,7,446.96,89.39
"11",11,"2025-05-27","23A",5,147,"2025-05-21","2025-05-28","na","hardwood","yes","stream",6491.9,13,19,7,446.96,89.39
"12",12,"2025-06-03","126B",3,154,"2025-06-02","2025-06-10","na","hardwood","no","na",4852.36,22,30,52,374.6,74.92
"13",13,"2025-06-04","126B",1,155,"2025-06-02","2025-06-10","na","hardwood","no","na",4852.36,22,30,52,374.6,74.92
"14",14,"2025-06-04","42A",46,155,"2025-06-04","2025-06-12","na","hardwood","yes","stream",10979.13,17,19,5,435.26,87.05
"15",15,"2025-06-04","42B",139,155,"2025-06-04","2025-06-12","na","mixed","no","na",5463.6,1,8,69,392.76,78.55
"16",16,"2025-06-05","42A",11,156,"2025-06-04","2025-06-12","na","hardwood","yes","stream",10979.13,17,19,5,435.26,87.05
"17",17,"2025-06-05","42B",54,156,"2025-06-04","2025-06-12","na","mixed","no","na",5463.6,1,8,69,392.76,78.55
"18",18,"2025-06-06","42B",285,157,"2025-06-04","2025-06-12","na","mixed","no","na",5463.6,1,8,69,392.76,78.55
"19",19,"2025-06-07","42A",29,158,"2025-06-04","2025-06-12","na","hardwood","yes","stream",10979.13,17,19,5,435.26,87.05
"20",20,"2025-06-07","42B",104,158,"2025-06-04","2025-06-12","na","mixed","no","na",5463.6,1,8,69,392.76,78.55
"21",21,"2025-06-08","42A",16,159,"2025-06-04","2025-06-12","na","hardwood","yes","stream",10979.13,17,19,5,435.26,87.05
"22",22,"2025-06-08","42B",36,159,"2025-06-04","2025-06-12","na","mixed","no","na",5463.6,1,8,69,392.76,78.55
"23",23,"2025-06-09","42A",15,160,"2025-06-04","2025-06-12","na","hardwood","yes","stream",10979.13,17,19,5,435.26,87.05
"24",24,"2025-06-09","42B",25,160,"2025-06-04","2025-06-12","na","mixed","no","na",5463.6,1,8,69,392.76,78.55
"25",25,"2025-06-10","324A",8,161,"2025-06-10","2025-06-18","na","hardwood","yes","stream",482.73,0,4,15,267.52,53.5
"26",26,"2025-06-10","324B",33,161,"2025-06-10","2025-06-18","na","mixed","no","na",3009.6,14,13,6,143.36,28.67
"27",27,"2025-06-10","42A",14,161,"2025-06-04","2025-06-12","na","hardwood","yes","stream",10979.13,17,19,5,435.26,87.05
"28",28,"2025-06-10","42B",8,161,"2025-06-04","2025-06-12","na","mixed","no","na",5463.6,1,8,69,392.76,78.55
"29",29,"2025-06-11","324A",4,162,"2025-06-10","2025-06-18","na","hardwood","yes","stream",482.73,0,4,15,267.52,53.5
"30",30,"2025-06-11","324B",63,162,"2025-06-10","2025-06-18","na","mixed","no","na",3009.6,14,13,6,143.36,28.67
"31",31,"2025-06-11","42A",12,162,"2025-06-04","2025-06-12","na","hardwood","yes","stream",10979.13,17,19,5,435.26,87.05
"32",32,"2025-06-11","42B",195,162,"2025-06-04","2025-06-12","na","mixed","no","na",5463.6,1,8,69,392.76,78.55
"33",33,"2025-06-12","324A",188,163,"2025-06-10","2025-06-18","na","hardwood","yes","stream",482.73,0,4,15,267.52,53.5
"34",34,"2025-06-12","324B",66,163,"2025-06-10","2025-06-18","na","mixed","no","na",3009.6,14,13,6,143.36,28.67
"35",35,"2025-06-12","42A",32,163,"2025-06-04","2025-06-12","na","hardwood","yes","stream",10979.13,17,19,5,435.26,87.05
"36",36,"2025-06-12","42B",200,163,"2025-06-04","2025-06-12","na","mixed","no","na",5463.6,1,8,69,392.76,78.55
"37",37,"2025-06-13","324A",221,164,"2025-06-10","2025-06-18","na","hardwood","yes","stream",482.73,0,4,15,267.52,53.5
"38",38,"2025-06-13","324B",61,164,"2025-06-10","2025-06-18","na","mixed","no","na",3009.6,14,13,6,143.36,28.67
